DateTime,PortfolioValue
Sun Dec 17 21:52:36 2023
,20810.3
Sun Dec 17 21:52:47 2023
,20899.6
Sun Dec 17 21:52:57 2023
,21185.4
Sun Dec 17 21:53:07 2023
,21404.7
Sun Dec 17 22:31:08 2023
,19128.8
Sun Dec 17 22:31:25 2023
,19771.9
Sun Dec 17 22:31:36 2023
,19771.9
Sun Dec 17 22:31:51 2023
,28306.3
